"","X","Name","Danceability","Energy","Key","Loudness","Mode","Speechness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Uri","Duration_ms","time_signature","Genre","Overall_Genre"
"1842",84615,"$outh$ide$uicide",0.797,0.516,1,-6.286,1,0.0831,0.00538,0.431,0.0728,0.0477,109.997,"spotify:track:4VsMart0lkjUtyQnmxloK6",169,4,"rapmetal","Rap"
"1843",84616,"38tothe Face",0.784,0.453,0,-5.545,0,0.35,0.0378,0.000375,0.356,0.0733,139.04,"spotify:track:0pEmCGi4ZwJvXmGVvPeaDi",151,4,"rapmetal","Rap"
"1844",84617,"Dark Light",0.625,0.45,9,-9.985,1,0.0311,0.0776,0.000217,0.117,0.0362,92.974,"spotify:track:7Cye3UbCA6UNuDykdCf3AB",206,3,"rapmetal","Rap"
"1845",84618,"H DM I",0.708,0.298,7,-16.427,1,0.0578,0.698,0.772,0.304,0.118,124.863,"spotify:track:2JUs4EVimq0ShpPeIgeokl",139,4,"rapmetal","Rap"
"1846",84619,"Psycho Pass",0.973,0.446,3,-9.355,0,0.0612,0.0303,1.75e-05,0.121,0.265,115.039,"spotify:track:3kZAm2TC74lBJFPDoV40Qc",135,4,"rapmetal","Rap"
"1847",84620,"Champion Of Death",0.82,0.918,0,-2.2,1,0.0498,0.169,0.00189,0.424,0.32,119.993,"spotify:track:4XQDrALwqj4J1YPqg58sDV",116,3,"rapmetal","Rap"
"1848",84621,"Thunder Man",0.924,0.55,2,-6.402,1,0.252,0.00213,4.34e-05,0.101,0.298,139.992,"spotify:track:2KmFKaUoWcteeDobI68uka",185,4,"rapmetal","Rap"
"1849",84622,"Succubus",0.774,0.413,1,-8.835,1,0.31,0.0112,6.96e-05,0.218,0.127,108.036,"spotify:track:5DNTCKpA8utYEWLIBcfkBS",108,5,"rapmetal","Rap"
"1850",84623,"Sodium",0.756,0.317,4,-15.468,0,0.0703,0.199,0.874,0.0746,0.108,121.001,"spotify:track:282k3FBavSZ9RJ65rm9CP4",115,4,"rapmetal","Rap"
"1851",84624,"Do You Believe In God?",0.794,0.534,0,-5.698,1,0.0509,0.0388,1e-05,0.555,0.0487,120.069,"spotify:track:0Xq0JbzlxLGNfdyR9gM5y2",118,4,"rapmetal","Rap"
